2025-10-20 17:22:51.519 [main] INFO  com.hacom.telecom.order_processing_service.OrderProcessingServiceApplication - Starting OrderProcessingServiceApplication using Java 17.0.16 with PID 182675 (/home/hdez/hacom-proyects/order-processing-service/build/classes/java/main started by hdez in /home/hdez/hacom-proyects/order-processing-service)
2025-10-20 17:22:51.524 [main] INFO  com.hacom.telecom.order_processing_service.OrderProcessingServiceApplication - No active profile set, falling back to 1 default profile: "default"
2025-10-20 17:22:52.297 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Reactive MongoDB repositories in DEFAULT mode.
2025-10-20 17:22:52.427 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 122 ms. Found 1 Reactive MongoDB repository interface.
2025-10-20 17:22:53.655 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|reactive-streams", "version": "5.5.1"}, "os": {"type": "Linux", "name": "Linux", "architecture": "amd64", "version": "6.8.0-85-generic"}, "platform": "Java/Ubuntu/17.0.16+8-Ubuntu-0ubuntu124.04.1"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=null, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@4ef5dd23, com.mongodb.Jep395RecordCodecProvider@163e8949, com.mongodb.KotlinCodecProvider@6eede35e]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvServiceName=mongodb, mode=SINGLE, requiredClusterType=UNKNOWN, requiredReplicaSetName='null', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=false, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=UNSPECIFIED, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null}
2025-10-20 17:22:53.668 [cluster-ClusterId{value='68f6c44dae3347007f79c3d4', description='null'}-127.0.0.1:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=127.0.0.1:27017, type=STANDALONE, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=23467649, minRoundTripTimeNanos=0}
2025-10-20 17:22:54.628 [main] INFO  com.hacom.telecom.order_processing_service.service.SmppClientService - SMPP client created successfully
2025-10-20 17:22:54.679 [main] INFO  com.cloudhopper.smpp.impl.DefaultSmppSession - sync send PDU: (bind_transceiver: 0x00000027 0x00000009 0x00000000 0x00000001) (body: systemId [testuser] password [testpass] systemType [] interfaceVersion [0x34] addressRange (0x00 0x00 [])) (opts: )
2025-10-20 17:22:54.688 [OrderProcessingSession] INFO  com.cloudhopper.smpp.impl.DefaultSmppSession - received PDU: (bind_transceiver_resp: 0x00000018 0x80000009 0x00000000 0x00000001 result: "OK") (body: systemId [SMPPSim]) (opts: )
2025-10-20 17:22:54.690 [main] INFO  com.hacom.telecom.order_processing_service.service.SmppClientService - SMPP session bound successfully to localhost:2775
2025-10-20 17:22:55.145 [main] INFO  org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver - Exposing 5 endpoints beneath base path '/actuator'
2025-10-20 17:22:55.261 [main] INFO  net.devh.boot.grpc.server.autoconfigure.GrpcServerFactoryAutoConfiguration - Detected grpc-netty-shaded: Creating ShadedNettyGrpcServerFactory
2025-10-20 17:22:55.642 [main] INFO  org.springframework.boot.web.embedded.netty.NettyWebServer - Netty started on port 9898 (http)
2025-10-20 17:22:55.739 [main] INFO  net.devh.boot.grpc.server.serverfactory.AbstractGrpcServerFactory - Registered gRPC service: orderservice.OrderService, bean: orderGrpcService, class: com.hacom.telecom.order_processing_service.grpc.OrderGrpcService
2025-10-20 17:22:55.740 [main] INFO  net.devh.boot.grpc.server.serverfactory.AbstractGrpcServerFactory - Registered gRPC service: grpc.health.v1.Health, bean: grpcHealthService, class: io.grpc.protobuf.services.HealthServiceImpl
2025-10-20 17:22:55.740 [main] INFO  net.devh.boot.grpc.server.serverfactory.AbstractGrpcServerFactory - Registered gRPC service: grpc.reflection.v1alpha.ServerReflection, bean: protoReflectionService, class: io.grpc.protobuf.services.ProtoReflectionService
